bin,year,idw_atvc
1091604,2020,264.01703157780577
1022664,2018,146.07445619615393
1022664,2019,196.7685290261913
1022664,2020,237.21099271131834
1088601,2018,118.11228278689171
1088601,2019,146.1260906055151
1088601,2020,311.16968645956825
1058838,2018,106.78085665833129
1058838,2019,150.65671058506638
1058838,2020,278.89348357813583
1089720,2018,111.29695795089715
1089720,2019,148.93829441874058
1089720,2020,285.35124214311276
1059502,2018,52.821085098837955
1059502,2019,129.75838946079244
1059502,2020,282.20650357811564
1006415,2018,126.08231224160743
1006415,2019,140.88632758883313
1006415,2020,320.4486770066554
1009920,2018,112.2791877294113
1009920,2019,139.90229842057857
1009920,2020,311.25910430018047
1064788,2018,132.32397402532482
1064788,2019,160.71998315704892
1064788,2020,280.65519796092525
1079105,2018,124.38343291680106
1079105,2019,140.00760684334944
1079105,2020,321.5599238384374
1001994,2018,109.69287550666124
1001994,2019,173.46464864419494
1001994,2020,340.58545401677725
1024921,2018,134.71708159398702
1024921,2019,178.10074942968475
1024921,2020,173.04100146162406
1084489,2018,98.80955667215912
1084489,2019,150.38257512713488
1084489,2020,279.10916993766847
1035312,2018,136.16608002630474
1035312,2019,188.69259485088932
1035312,2020,253.22132814559663
1030888,2018,126.29202205504873
1030888,2019,158.26002924283037
1030888,2020,248.49750246979102
1017821,2018,131.84494429028894
1017821,2019,139.38749215877328
1017821,2020,299.96775526605524
1090776,2018,124.35668069272238
1090776,2019,139.79089074044919
1090776,2020,322.15894187003187
1025254,2018,146.71709532099314
1025254,2019,183.2758848032549
1025254,2020,223.08771600680095
1057557,2018,106.20543875310969
1057557,2019,140.69230562818768
1057557,2020,287.3207389945402
1081934,2018,100.65456789923574
1081934,2019,127.2290707907388
1081934,2020,357.52455587604663
1014448,2018,139.865369705694
1014448,2019,180.48024327600996
