Yr,WktGeom,street,fromSt,toSt,mean,median
2018,POINT (990240.2936007738 216707.13350174748),WEST 53 STREET,6 Avenue Line,6 Avenue Line,100.00080128205128,105.0
2018,POINT (990284.1566049303 221200.94819559227),WEST 68 STREET,Columbus Avenue,8 Avenue Line,37.286458333333336,40.0
2018,POINT (990306.0964066731 220462.8837339253),65 ST TRANSVERSE,Dead End,Dead end,176.82589285714286,209.0
2018,POINT (990428.3139825222 224916.51283188857),AMSTERDAM AVENUE,West 80 Street,West 81 Street,273.3809523809524,302.0
2018,POINT (990492.810723247 221682.32457164547),WEST 70 STREET,Columbus Avenue,8 Avenue Line,30.598214285714285,32.0
2018,POINT (990526.950180795 209351.86508115617),EAST 29 STREET,Dead end,2 Avenue,46.052083333333336,49.0
2018,POINT (990555.9691033452 221438.08136302256),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,109.71875,127.0
2018,POINT (990661.0800485675 204059.72556543516),AVENUE C,East 11 Street,East 12 Street,50.201636904761905,43.0
2018,POINT (990661.6584132204 218328.96839374217),CENTRAL PARK SOUTH,63 Street Line,Astoria Line,92.62127976190476,96.0
2018,POINT (990734.5716140385 221760.21703154923),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,152.33035714285714,173.0
2018,POINT (990786.6971916244 218144.62331110673),AVENUE OF THE AMERICAS,63 Street Line,63 Street Line,189.47470238095238,207.0
2018,POINT (990812.350821153 222128.96579556353),WEST 72 STREET,Driveway,8 Avenue Line,55.973958333333336,63.0
